state,x,y
Rajasthan,-113,91
Haryana,-75,124
Delhi,-65,109
Jammu Kasmir,-73,232
Uttar Pradesh,10,63
Bihar,73,55
Andhra Pradesh,-49,-141
Arunachal Pradesh,211,102
Assam,189,72
Chhattisgarh,10,-20
Goa,-137,-127
Gujarat,-165,26
Himachal Pradesh,-60,178
Jharkhand,63,16
Karnataka,-109,-138
Kerala,-102,-209
Madhya Pradesh,-64,14
Maharashtra,-106,-48
Manipur,211,40
Meghalaya,171,51
Mizoram,197,20
Nagaland,222,65
Odisha,48,-36
Punjab,-91,163
Sikkim,119,88
Tamil Nadu,-65,-212
Telangana,-57,-88
Tripura,117,17
Uttarakhand,-37,148
West Bengal,114,7
